Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,PathLength_Level2,NodesExplored_Level2,PathLength_Level3,NodesExplored_Level3,PathLength_AStar,NodesExplored_AStar
1,59,3,8,100,100,34,84,19,20,11,14,161,268
2,61,4,7,100,100,0,0,0,0,0,0,0,1
3,58,1,9,100,100,0,0,0,0,0,0,0,1
4,59,4,3,100,100,0,0,0,0,0,0,0,972
5,55,2,5,100,100,34,216,18,18,10,10,163,1139
6,61,2,7,100,100,0,0,0,0,0,0,0,1
7,61,4,7,100,100,0,0,0,0,0,0,0,311
8,61,1,5,100,100,0,0,0,0,0,0,0,1
9,64,4,4,100,100,0,0,0,0,0,0,0,1
10,58,4,5,100,100,0,0,0,0,0,0,0,15
11,63,4,6,100,100,0,0,0,0,0,0,0,175
12,51,2,7,100,100,33,253,18,18,11,14,161,343
13,55,2,9,100,100,38,189,18,18,13,17,165,390
14,59,2,3,100,100,0,0,0,0,0,0,0,1
15,56,2,3,100,100,0,0,0,0,0,0,0,1
16,58,1,8,100,100,0,0,0,0,0,0,0,564
17,61,1,6,100,100,0,0,0,0,0,0,0,3555
18,64,2,8,100,100,0,0,0,0,0,0,0,1
19,54,3,7,100,100,34,188,18,18,12,12,161,817
20,59,4,6,100,100,0,0,0,0,0,0,0,1
21,52,4,3,100,100,0,0,0,0,0,0,0,6976
22,57,3,9,100,100,0,0,0,0,0,0,161,302
23,63,3,4,100,100,0,0,0,0,0,0,0,274
24,54,4,3,100,100,0,0,0,0,0,0,167,415
25,52,3,8,100,100,0,0,0,0,0,0,0,9020
26,63,4,9,100,100,0,0,0,0,0,0,0,1
27,60,3,5,100,100,0,0,0,0,0,0,0,321
28,62,1,7,100,100,0,0,0,0,0,0,0,169
29,53,3,3,100,100,35,38,18,18,12,12,163,2105
30,59,2,8,100,100,0,0,0,0,0,0,0,5561
31,62,4,9,100,100,0,0,0,0,0,0,0,1216
32,58,1,8,100,100,0,0,0,0,0,0,0,6167
33,59,4,3,100,100,0,0,0,0,0,0,0,27
34,53,2,8,100,100,34,237,18,23,10,10,161,1546
35,53,1,6,100,100,33,174,18,18,10,10,161,371
36,59,3,7,100,100,0,0,0,0,0,0,0,3788
37,57,1,9,100,100,34,219,19,21,11,15,163,2551
38,63,4,5,100,100,0,0,0,0,0,0,0,165
39,60,2,8,100,100,0,0,0,0,0,0,0,5020
40,56,3,3,100,100,31,171,18,18,14,14,171,1644
41,55,3,8,100,100,0,0,0,0,0,0,0,1
42,58,1,9,100,100,34,235,18,23,10,10,161,1142
43,50,2,6,100,100,33,270,19,20,12,12,161,189
44,59,4,7,100,100,40,188,18,18,0,0,183,2526
45,56,4,4,100,100,0,0,0,0,0,0,0,4874
46,64,2,7,100,100,0,0,0,0,0,0,0,1
47,50,2,9,100,100,34,213,18,18,12,12,161,431
48,63,1,3,100,100,0,0,0,0,0,0,0,75
49,60,4,6,100,100,0,0,0,0,0,0,0,1
50,53,4,5,100,100,0,0,0,0,0,0,0,7787
51,58,4,8,100,100,34,246,18,18,12,12,163,2282
52,57,2,9,100,100,0,0,0,0,0,0,0,7095
53,51,3,8,100,100,34,211,18,18,12,12,161,162
54,58,2,3,100,100,0,0,0,0,0,0,0,1
55,55,3,6,100,100,0,0,0,0,0,0,0,1
56,57,2,9,100,100,33,221,18,21,10,10,161,533
57,51,1,7,100,100,0,0,0,0,0,0,0,9132
58,51,3,8,100,100,34,242,18,21,10,10,161,287
59,57,2,8,100,100,0,0,0,0,0,0,0,1
60,50,1,3,100,100,34,195,18,18,12,12,161,215
61,62,4,8,100,100,0,0,0,0,0,0,0,50
62,62,2,8,100,100,0,0,0,0,0,0,0,227
63,51,2,4,100,100,34,204,18,18,10,10,161,626
64,63,1,3,100,100,0,0,0,0,0,0,0,4
65,63,3,9,100,100,0,0,0,0,0,0,0,1
66,50,4,7,100,100,34,270,18,22,12,12,161,280
67,56,2,9,100,100,0,0,0,0,0,0,0,768
68,54,2,7,100,100,0,0,0,0,0,0,0,7895
69,60,4,5,100,100,0,0,0,0,0,0,0,4460
70,51,1,9,100,100,34,260,18,22,11,13,161,245
71,64,1,8,100,100,0,0,0,0,0,0,0,1
72,52,4,8,100,100,34,270,19,22,10,10,161,635
73,64,3,9,100,100,0,0,0,0,0,0,0,49
74,61,3,4,100,100,0,0,0,0,0,0,0,1
75,58,2,5,100,100,0,0,0,0,0,0,0,272
76,50,2,7,100,100,34,232,18,18,10,10,161,207
77,63,1,3,100,100,0,0,0,0,0,0,0,1
78,55,2,3,100,100,34,101,18,18,10,10,163,778
79,55,3,5,100,100,37,80,18,18,13,16,163,612
80,64,4,7,100,100,0,0,0,0,0,0,0,28
81,58,1,5,100,100,0,0,0,0,0,0,0,52
82,58,3,8,100,100,0,0,0,0,0,0,0,171
83,63,2,4,100,100,0,0,0,0,0,0,0,1
84,64,3,5,100,100,0,0,0,0,0,0,0,501
85,54,2,8,100,100,34,194,18,18,12,12,161,245
86,64,4,6,100,100,0,0,0,0,0,0,0,75
87,51,3,8,100,100,0,0,0,0,0,0,0,1
88,63,3,4,100,100,0,0,0,0,0,0,0,1
89,59,3,7,100,100,0,0,0,0,0,0,0,5605
90,51,2,6,100,100,34,207,18,18,12,12,161,385
91,53,3,9,100,100,0,0,0,0,0,0,0,8933
92,51,1,4,100,100,0,0,0,0,0,0,163,349
93,58,2,9,100,100,0,0,0,0,0,0,0,1
94,54,3,4,100,100,0,0,0,0,0,0,0,2
95,55,2,5,100,100,32,43,18,18,10,10,161,255
96,58,4,5,100,100,0,0,0,0,0,0,0,3127
97,58,2,7,100,100,0,0,0,0,0,0,0,6448
98,56,3,3,100,100,42,331,18,19,13,16,205,3071
99,61,2,9,100,100,0,0,0,0,0,0,0,1
100,54,3,8,100,100,34,258,18,20,12,12,161,428
