Iteration,Density,CheckPoints,CellularIterations,Height,Width,InitialTime_Level1,InitialTime_Level2,InitialTime_Level3,InitialTime_AStar,ReplanningTime_Level1,ReplanningTime_Level2,ReplanningTime_Level3,ReplanningTime_AStar,InitialPathLength_AStar,InitialPathLength_Level1,InitialPathLength_Level2,InitialPathLength_Level3,NewPathLength_AStar,NewPathLength_Level1,NewPathLength_Level2,NewPathLength_Level3,PathLengthChange_Level1,PathLengthChange_Level2,PathLengthChange_Level3,PathLengthChange_AStar
1,60,2,18,100,100,1,1,0,1,5,9,22,-1,0,0,0,0,0,46,46,63,0,0,0,0
2,60,3,19,100,100,2,3,5,1,0,1,0,-1,31,46,46,69,0,46,46,69,0,0,0,0
3,60,4,17,100,100,1,2,4,0,0,1,5,0,31,37,52,52,0,37,52,52,0,-15,0,0
4,60,1,19,100,100,1,3,6,0,0,1,1,0,31,39,43,54,0,39,43,54,0,-4,0,0
5,60,4,17,100,100,1,2,5,0,0,0,0,0,31,39,43,54,0,39,43,54,0,-4,0,0
6,60,1,18,100,100,1,2,4,0,0,0,0,0,31,39,43,54,0,39,43,54,0,-4,0,0
7,60,1,18,100,100,0,0,0,0,2,3,5,0,35,0,0,0,0,50,50,67,0,0,0,0
8,60,3,17,100,100,1,3,6,0,0,1,0,0,31,39,43,52,0,39,43,52,0,-4,0,0
9,60,2,18,100,100,1,7,14,0,0,0,0,0,31,39,43,61,0,39,43,61,0,-4,0,0
10,60,1,17,100,100,1,0,0,31,0,1,1,-31,0,0,0,0,0,0,0,0,0,0,0,0
