Mode,SimulationRun,Iteration,MMASIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,4,100,231.16671526432,9
RebuildWholeGraph,0,5,200,231.16671526432,15
RebuildWholeGraph,0,6,300,231.16671526432,22
RebuildWholeGraph,0,7,400,231.16671526432,30
RebuildWholeGraph,0,8,500,231.16671526432,39
RebuildWholeGraph,0,9,600,231.16671526432,49
RebuildWholeGraph,0,10,700,231.16671526432,60
RebuildWholeGraph,0,11,800,231.16671526432,72
RebuildWholeGraph,0,12,900,231.16671526432,85
RebuildWholeGraph,0,13,1000,231.16671526432,99
RebuildWholeGraph,0,14,1100,231.16671526432,114
RebuildWholeGraph,0,15,1200,231.16671526432,130
RebuildWholeGraph,0,16,1300,231.16671526432,147
RebuildWholeGraph,0,17,1400,231.16671526432,165
RebuildWholeGraph,0,18,1500,231.16671526432,184
RebuildWholeGraph,0,19,1600,231.16671526432,204
RebuildWholeGraph,0,20,1700,231.16671526432,225
RebuildWholeGraph,0,21,1800,231.16671526432,247
RebuildWholeGraph,0,22,1900,231.16671526432,270
RebuildWholeGraph,0,23,2000,231.16671526432,294
RebuildWholeGraph,0,24,2100,231.16671526432,319
