AddNodesDynamically,0,4,90,90,204.238035202026,5
AddNodesDynamically,0,5,126,36,275.462862014771,6
AddNodesDynamically,0,6,160,34,277.302419662476,7
AddNodesDynamically,0,7,201,41,277.612425208092,8
AddNodesDynamically,0,8,238,37,309.310276389122,9
AddNodesDynamically,0,9,276,38,309.384069800377,10
AddNodesDynamically,0,10,315,39,311.10007083416,11
AddNodesDynamically,0,11,354,39,325.825065493584,12
AddNodesDynamically,0,12,394,40,346.051790118217,13
AddNodesDynamically,0,13,435,41,364.144306063652,14
AddNodesDynamically,0,14,476,41,364.723832964897,15
